epsilon_r,lambda_tf,mu_minus,operational status
9.45,8.25,-0.2425,1
5.25,8.5,-0.44,1
6.3,7.4,-0.3425,1
4.85,7.9,-0.4625,1
5.35,8.95,-0.4475,1
6.75,9.05,-0.245,1
6.45,6.1,-0.31,1
6.95,6.85,-0.3025,1
6.2,6.95,-0.3425,1
4.8,6.4,-0.4225,1
4.95,9.7,-0.4975,1
9.25,9.1,-0.2575,1
8.95,7.5,-0.2475,1
4.55,6.1,-0.4425,1
8.15,9.25,-0.205,1
4.5,5.7,-0.43,1
8.95,6.4,-0.2275,1
6,9.5,-0.4025,1
4.5,9.9,-0.38,1
7.45,8.2,-0.3075,1
7.3,5.95,-0.2725,1
7.9,9.25,-0.3025,1
6.95,5.1,-0.255,1
7.45,8,-0.305,1
5.4,8.55,-0.4375,1
8.4,9.45,-0.29,1
6.4,7.65,-0.3475,1
8.6,9.05,-0.2725,1
7.55,8.9,-0.2175,1
7.5,3.75,-0.1975,1
7.35,8.15,-0.3125,1
9.3,6.45,-0.2175,1
5.5,6,-0.3575,1
9.35,9.05,-0.2525,1
8.65,8.15,-0.2625,1
7.3,9.4,-0.33,1
4.8,5.35,-0.38,1
4.95,8.5,-0.4625,1
8.8,8.5,-0.1825,1
6.75,5.2,-0.27,1
7.2,9.5,-0.235,1
9.35,9.7,-0.1825,1
7.05,6.75,-0.2975,1
6.6,9.5,-0.365,1
6.55,6.3,-0.305,1
8.95,5.75,-0.215,1
7.7,6.25,-0.26,1
8.7,6.7,-0.24,1
9.8,6.1,-0.2,1
5.9,6.95,-0.36,1
8.9,9.6,-0.19,1
6.3,8.15,-0.3575,1
6.35,8.7,-0.3675,1
9.5,6.9,-0.2225,1
8.8,7.65,-0.25,1
4,5.95,-0.485,1
4.9,4.65,-0.345,1
5.3,6.5,-0.3925,1
6.05,4.5,-0.275,1
9.85,9.25,-0.245,1
4.2,6.45,-0.4875,1
4.55,4.55,-0.37,1
5,9.6,-0.4875,1
6.2,8.65,-0.3825,1
6.2,9.9,-0.395,1
8,7,-0.2675,1
5.45,6.25,-0.3725,1
6,9.85,-0.4125,1
9.35,5.55,-0.2,1
7.4,9.75,-0.335,1
7,6.15,-0.285,1
8,5.95,-0.245,1
4.65,5.85,-0.4225,1
7.65,6.35,-0.2625,1
6.45,9.4,-0.38,1
5.75,4.85,-0.3075,1
4.65,7.6,-0.4775,1
5.7,4.45,-0.2875,1
4.85,6.95,-0.4375,1
7.4,6.5,-0.275,1
5.25,7.05,-0.4075,1
6.95,8.8,-0.3375,1
4.7,4.5,-0.3525,1
3.95,2.95,-0.3125,1
9.65,5.95,-0.2025,1
9.9,2.5,-0.1075,1
6.55,9.15,-0.365,1
4.75,5.6,-0.4,1
5.05,8.85,-0.4675,1
9.9,9.7,-0.2475,1
5.35,9.8,-0.455,1
7.1,7.7,-0.3175,1
6.65,9,-0.36,1
6.9,6.1,-0.2925,1
9.5,7.7,-0.2325,1
8.75,5.95,-0.2275,1
9.15,9.05,-0.26,1
4.7,8.3,-0.495,1
8.8,5,-0.205,1
8.55,7.85,-0.2625,1
9.65,4.95,-0.185,1
7.15,10,-0.24,1
6.55,4.65,-0.2575,1
9.4,7.4,-0.2325,1
5.65,9.4,-0.4225,1
4.6,7.5,-0.485,1
6,9.45,-0.28,1
9.8,4.9,-0.1775,1
8.35,7.75,-0.265,1
7.95,9.65,-0.3075,1
5.15,6.35,-0.395,1
4.45,4.75,-0.39,1
5.25,4.7,-0.33,1
6.6,6.5,-0.3125,1
3.35,3.15,-0.3875,1
9.6,4.4,-0.1725,1
6.5,7.7,-0.345,1
7.35,9.75,-0.2325,1
9.55,6.9,-0.2225,1
4.15,5.75,-0.46,1
5.45,4.5,-0.3025,1
5.25,9.55,-0.4575,1
8.2,3.65,-0.1775,1
5.45,4.9,-0.32,1
4.3,6.4,-0.475,1
7.45,7.4,-0.2025,1
9.15,4.75,-0.19,1
6,8.8,-0.39,1
7,4.65,-0.245,1
6.75,8.65,-0.3475,1
6.75,7.5,-0.33,1
6.4,9.9,-0.3875,1
5.15,9.75,-0.475,1
5.2,5.75,-0.365,1
6.2,9.7,-0.3925,1
5.6,5.15,-0.325,1
7.5,6.5,-0.1875,1
5.05,4.9,-0.3475,1
5.35,5.4,-0.3525,1
6.35,8.25,-0.3575,1
6.8,9.35,-0.35,1
7.4,7.8,-0.2975,1
8.75,7.05,-0.2475,1
7.15,9,-0.3375,1
4.85,5.5,-0.3925,1
5.45,6.6,-0.375,1
7.55,6.7,-0.28,1
4.45,7.65,-0.495,1
9.6,7,-0.225,1
8.6,6.2,-0.235,1
6.85,9.6,-0.3575,1
8.15,7.95,-0.2725,1
5.25,3.95,-0.2925,1
5.4,9.45,-0.4475,1
7.5,4.65,-0.23,1
7.25,8.8,-0.3275,1
4.55,7.65,-0.4825,1
6.25,7.45,-0.35,1
7.7,3.8,-0.195,1
3.25,3.95,-0.475,1
4.4,3.55,-0.325,1
6.75,6.25,-0.295,1
5.25,5.8,-0.365,1
9.45,8.5,-0.2425,1
9.75,6.2,-0.2025,1
4.95,6,-0.4025,1
9.65,9.85,-0.1775,1
6.85,5.75,-0.2775,1
7.85,7.5,-0.2775,1
6.25,9.25,-0.38,1
4.7,8.25,-0.495,1
3.85,5.45,-0.48,1
9.6,9.2,-0.2525,1
4.6,8.25,-0.49,1
2.05,2.3,-0.48,1
4.75,8.45,-0.4875,1
5.35,7.05,-0.4025,1
5.4,8.4,-0.4225,1
3.75,3.7,-0.3925,1
6.55,5.85,-0.295,1
8.85,8.65,-0.265,1
4.7,5.25,-0.39,1
7.25,6.55,-0.2875,1
7.9,7.55,-0.275,1
5.05,9.6,-0.475,1
3.5,2.85,-0.3425,1
9.95,6.9,-0.2125,1
4.45,4.9,-0.39,1
3.05,2.8,-0.3875,1
6.9,2.55,-0.1575,1
5.65,6.65,-0.3625,1
9.5,4.55,-0.1775,1
3.7,5.2,-0.4875,1
6.7,7.25,-0.325,1
6.6,5.65,-0.2875,1
5.3,6.1,-0.3775,1
5,7.2,-0.2975,1
5.3,8.95,-0.4475,1
9.35,9.35,-0.255,1
7.65,9.5,-0.3175,1
4.65,8.25,-0.495,1
9.65,8.7,-0.24,1
5.15,3.6,-0.28,1
7.1,5.8,-0.2725,1
9.6,8.3,-0.2375,1
5.8,5.75,-0.3275,1
6.15,3.55,-0.2325,1
7.1,1.8,-0.1075,1
3.9,5.8,-0.5,1
5.2,7.7,-0.295,1
8.8,5.95,-0.225,1
9.95,8.15,-0.2275,1
5.95,9.7,-0.405,1
7.55,9.4,-0.2225,1
5.45,8.85,-0.4275,1
4.9,3.3,-0.275,1
9.9,9.1,-0.1675,1
7.75,2.55,-0.14,1
8.55,5.95,-0.23,1
4.9,9.55,-0.49,1
4.8,7,-0.4375,1
6,8.55,-0.3875,1
6.1,10,-0.405,1
8.55,9.65,-0.2825,1
5.15,5.85,-0.38,1
7.95,8.7,-0.295,1
6.05,5.35,-0.31,1
7.15,6.85,-0.2975,1
7.75,6.55,-0.27,1
6.2,8.15,-0.365,1
7.05,5.7,-0.2725,1
8.05,3.35,-0.17,1
9.3,7.1,-0.2275,1
5.9,8.7,-0.3975,1
3.65,4.75,-0.465,1
5.4,9.9,-0.3175,1
8.9,4.5,-0.185,1
9.5,8.6,-0.17,1
9.45,4.6,-0.18,1
9.95,6.45,-0.2025,1
5.5,5.9,-0.3575,1
6.1,8.8,-0.2675,1
4.1,5.9,-0.48,1
5.6,7.6,-0.39,1
7.05,7.35,-0.3125,1
6.15,9.6,-0.4,1
7.9,5.2,-0.2275,1
7.5,8.55,-0.215,1
